consumer	provider	symbol
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_display_draw_desktop
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_display_finish_draw
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_display_flip
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_display_prepare_desktop
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_display_prepare_osk
ps2vnc_display.o	ps2vnc_framebuffer.o	ps2vnc_display_direct_write_cancel
ps2vnc_display.o	ps2vnc_management_tail.o	ps2vnc_display_profile_capture_active
ps2vnc_display.o	ps2vnc_management_tail.o	ps2vnc_display_transaction_ack_to_pi
ps2vnc_display.o	ps2vnc_management_tail.o	ps2vnc_display_transaction_commit_to_pi
ps2vnc_display.o	ps2vnc_management_tail.o	ps2vnc_display_transaction_restore_to_pi
ps2vnc_display.o	ps2vnc_management_tail.o	ps2vnc_display_transaction_restored_to_pi
ps2vnc_display.o	ps2vnc_management_tail.o	ps2vnc_display_tx_profiles_equal
ps2vnc_display.o	ps2vnc_runtime.o	display_menu_selection_for_mode
ps2vnc_display.o	ps2vnc_runtime.o	display_mode_request_for_selection
ps2vnc_display.o	ps2vnc_runtime.o	ps2vnc_display_logical_desktop_size
ps2vnc_display.o	ps2vnc_runtime.o	ps2vnc_video_mode_by_name
ps2vnc_display.o	ps2vnc_runtime.o	region_fits_u32
ps2vnc_display.o	ps2vnc_runtime.o	screenf
ps2vnc_display.o	ps2vnc_runtime_tail.o	display_confirm_disarm_transaction
ps2vnc_display.o	ps2vnc_runtime_tail.o	request_and_confirm_desktop_size
ps2vnc_display.o	ps2vnc_runtime_tail.o	set_raw_extended_desktop_encoding
ps2vnc_display.o	ps2vnc_services.o	debug_emit_geometry_snapshot
ps2vnc_display.o	ps2vnc_services.o	recover_rfb_transport_for_display_rollback
ps2vnc_display.o	ps2vnc_services.o	screen_fit_apply_preset
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	calculate_presented_desktop_geometry
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	ps2vnc_display_create
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	ps2vnc_display_draw_desktop
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	ps2vnc_display_finish_draw
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	ps2vnc_display_flip
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	ps2vnc_display_prepare_desktop
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	ps2vnc_display_prepare_osk
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	ps2vnc_display_wait_presentation_memory_idle
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	ps2vnc_display_wait_texture_idle
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	run_screen_fit_calibration
ps2vnc_display_tail.o	ps2vnc_display.o	ps2vnc_global_rollback_display_transaction
ps2vnc_display_tail.o	ps2vnc_display.o	ps2vnc_remote_display_fail
ps2vnc_display_tail.o	ps2vnc_display.o	ps2vnc_remote_display_lease_expired
ps2vnc_display_tail.o	ps2vnc_display.o	ps2vnc_startup_finalize_display_transaction
ps2vnc_display_tail.o	ps2vnc_display.o	ps2vnc_switch_display_mode
ps2vnc_display_tail.o	ps2vnc_framebuffer.o	ps2vnc_display_begin_update
ps2vnc_display_tail.o	ps2vnc_framebuffer.o	ps2vnc_display_direct_write_cancel
ps2vnc_display_tail.o	ps2vnc_framebuffer.o	ps2vnc_display_finish_update_decode
ps2vnc_display_tail.o	ps2vnc_framebuffer_tail.o	ps2vnc_display_commit_update
ps2vnc_display_tail.o	ps2vnc_management_tail.o	ps2vnc_display_policy_hide_to_pi
ps2vnc_display_tail.o	ps2vnc_management_tail.o	ps2vnc_display_policy_lock_to_pi
ps2vnc_display_tail.o	ps2vnc_management_tail.o	ps2vnc_display_policy_refresh_from_pi
ps2vnc_display_tail.o	ps2vnc_management_tail.o	ps2vnc_display_profile_capture_active
ps2vnc_display_tail.o	ps2vnc_management_tail.o	ps2vnc_display_profile_resolve_candidate
ps2vnc_display_tail.o	ps2vnc_management_tail.o	ps2vnc_display_transaction_ack_to_pi
ps2vnc_display_tail.o	ps2vnc_management_tail.o	ps2vnc_display_transaction_begin_to_pi
ps2vnc_display_tail.o	ps2vnc_management_tail.o	ps2vnc_display_transaction_commit_to_pi
ps2vnc_display_tail.o	ps2vnc_runtime.o	display_menu_selection_for_mode
ps2vnc_display_tail.o	ps2vnc_runtime.o	display_mode_request_target
ps2vnc_display_tail.o	ps2vnc_runtime.o	ps2vnc_display_logical_desktop_size
ps2vnc_display_tail.o	ps2vnc_runtime.o	ps2vnc_display_output_x
ps2vnc_display_tail.o	ps2vnc_runtime.o	ps2vnc_display_output_y
ps2vnc_display_tail.o	ps2vnc_runtime.o	region_fits_u32
ps2vnc_display_tail.o	ps2vnc_runtime.o	screenf
ps2vnc_display_tail.o	ps2vnc_runtime_tail.o	display_confirm_arm_transaction
ps2vnc_display_tail.o	ps2vnc_runtime_tail.o	display_confirm_disarm_transaction
ps2vnc_display_tail.o	ps2vnc_runtime_tail.o	display_confirm_remaining_seconds
ps2vnc_display_tail.o	ps2vnc_runtime_tail.o	display_confirm_return_to_active_menu
ps2vnc_display_tail.o	ps2vnc_runtime_tail.o	request_and_confirm_desktop_size
ps2vnc_display_tail.o	ps2vnc_runtime_tail.o	wait_pad_ready_after_mode_change
ps2vnc_display_tail.o	ps2vnc_services.o	debug_emit_geometry_snapshot
ps2vnc_display_tail.o	ps2vnc_services.o	ps2vnc_config_apply_display
ps2vnc_display_tail.o	ps2vnc_services.o	ps2vnc_config_get_display_for_mode
ps2vnc_display_tail.o	ps2vnc_services.o	ps2vnc_config_presented_geometry_for_mode
ps2vnc_display_tail.o	ps2vnc_services.o	ps2vnc_display_transaction_startup_preflight
ps2vnc_display_tail.o	ps2vnc_services.o	ps2vnc_startup_prepare_display_transaction
ps2vnc_display_tail.o	ps2vnc_ui_display.o	display_confirm_render_bitmap
ps2vnc_display_tail.o	ps2vnc_ui_display.o	display_menu_normalize_selection
ps2vnc_display_tail.o	ps2vnc_ui_display.o	display_menu_render_bitmap
ps2vnc_display_tail.o	ps2vnc_ui_display.o	display_menu_tab_for_mode
ps2vnc_display_tail.o	ps2vnc_ui_display.o	display_restore_ack_render_bitmap
ps2vnc_framebuffer.o	ps2vnc_runtime.o	ps2vnc_hires_requires_raster_mapping
ps2vnc_framebuffer.o	ps2vnc_runtime.o	ps2vnc_hires_requires_vertical_mapping
ps2vnc_framebuffer.o	ps2vnc_runtime.o	region_fits_u32
ps2vnc_framebuffer.o	ps2vnc_runtime.o	screenf
ps2vnc_framebuffer.o	ps2vnc_runtime_tail.o	set_raw_extended_desktop_encoding
ps2vnc_framebuffer_tail.o	ps2vnc_calibration_tail.o	ps2vnc_display_wait_presentation_memory_idle
ps2vnc_framebuffer_tail.o	ps2vnc_framebuffer.o	hires_bg_storage_row
ps2vnc_framebuffer_tail.o	ps2vnc_framebuffer.o	ps2vnc_hires_mapped_storage_row
ps2vnc_framebuffer_tail.o	ps2vnc_framebuffer.o	sync_copy_hires_dirty_rows
ps2vnc_framebuffer_tail.o	ps2vnc_runtime.o	ps2vnc_hires_requires_raster_mapping
ps2vnc_framebuffer_tail.o	ps2vnc_runtime.o	ps2vnc_hires_storage_bytes
ps2vnc_framebuffer_tail.o	ps2vnc_runtime.o	ps2vnc_hires_storage_height
ps2vnc_framebuffer_tail.o	ps2vnc_runtime.o	ps2vnc_hires_storage_width
ps2vnc_framebuffer_tail.o	ps2vnc_runtime.o	region_fits_u32
ps2vnc_management_tail.o	ps2vnc_runtime.o	display_menu_mode_at_selection
ps2vnc_management_tail.o	ps2vnc_runtime.o	display_menu_selection_for_mode
ps2vnc_management_tail.o	ps2vnc_runtime.o	ps2vnc_video_mode_by_name
ps2vnc_management_tail.o	ps2vnc_runtime.o	ps2vnc_video_mode_default_backend
ps2vnc_management_tail.o	ps2vnc_runtime.o	ps2vnc_video_mode_supports_backend
ps2vnc_management_tail.o	ps2vnc_runtime.o	screenf
ps2vnc_management_tail.o	ps2vnc_services.o	ps2vnc_backend_from_transaction_name
ps2vnc_management_tail.o	ps2vnc_services.o	ps2vnc_backend_transaction_name
ps2vnc_runtime.o	ps2vnc_display.o	ps2vnc_remote_display_lease_expired
ps2vnc_runtime_tail.o	ps2vnc_runtime.o	screenf
ps2vnc_runtime_tail.o	ps2vnc_ui_display.o	display_menu_open_for_active
ps2vnc_services.o	ps2vnc_calibration_tail.o	calculate_presented_desktop_geometry
ps2vnc_services.o	ps2vnc_calibration_tail.o	ps2vnc_display_finish_draw
ps2vnc_services.o	ps2vnc_calibration_tail.o	ps2vnc_display_flip
ps2vnc_services.o	ps2vnc_calibration_tail.o	ps2vnc_display_wait_texture_idle
ps2vnc_services.o	ps2vnc_framebuffer.o	probe_extended_desktop_size
ps2vnc_services.o	ps2vnc_framebuffer_tail.o	ps2vnc_display_publish_full_desktop
ps2vnc_services.o	ps2vnc_management_tail.o	ps2vnc_display_profile_resolve_candidate
ps2vnc_services.o	ps2vnc_management_tail.o	ps2vnc_display_profile_valid
ps2vnc_services.o	ps2vnc_management_tail.o	ps2vnc_display_transaction_restore_to_pi
ps2vnc_services.o	ps2vnc_management_tail.o	ps2vnc_display_tx_parse_profile
ps2vnc_services.o	ps2vnc_management_tail.o	ps2vnc_display_tx_profiles_equal
ps2vnc_services.o	ps2vnc_management_tail.o	ps2vnc_display_tx_take_line
ps2vnc_services.o	ps2vnc_runtime.o	ps2vnc_display_output_x
ps2vnc_services.o	ps2vnc_runtime.o	ps2vnc_display_output_y
ps2vnc_services.o	ps2vnc_runtime.o	ps2vnc_video_mode_by_name
ps2vnc_services.o	ps2vnc_runtime.o	ps2vnc_video_mode_default_backend
ps2vnc_services.o	ps2vnc_runtime.o	region_fits_u32
ps2vnc_services.o	ps2vnc_runtime.o	screenf
ps2vnc_services.o	ps2vnc_runtime_tail.o	request_and_confirm_desktop_size
ps2vnc_ui_display.o	ps2vnc_runtime.o	display_menu_mode_at_selection
ps2vnc_ui_display.o	ps2vnc_runtime.o	display_menu_selection_for_mode
ps2vnc_ui_display.o	ps2vnc_runtime_tail.o	osk_display_char
ps2vnc_ui_tail.o	ps2vnc_runtime.o	display_menu_mode_at_selection
ps2vnc_ui_tail.o	ps2vnc_runtime.o	display_mode_request_for_selection
ps2vnc_ui_tail.o	ps2vnc_runtime_tail.o	display_confirm_remaining_seconds
ps2vnc_ui_tail.o	ps2vnc_ui_display.o	display_menu_move_horizontal_selection
ps2vnc_ui_tail.o	ps2vnc_ui_display.o	display_menu_move_vertical_selection
ps2vnc_ui_tail.o	ps2vnc_ui_display.o	display_menu_open_for_active
