consumer	identifier	provider
ui	display_menu_parent_system	data:ps2vnc_runtime_support.inc
ui	display_menu_selection	data:ps2vnc_runtime_support.inc
ui	display_menu_tab	data:ps2vnc_runtime_support.inc
ui	display_menu_tab_selection	data:ps2vnc_runtime_support.inc
ui	display_menu_visible	data:ps2vnc_runtime_support.inc
ui	display_mode_request	data:ps2vnc_runtime_support.inc
ui	display_mode_request_for_selection	aux-function:ps2vnc_runtime_support.inc
ui	display_mode_request_remote	data:ps2vnc_runtime_support.inc
ui	display_mode_request_target	aux-function:ps2vnc_runtime_support.inc
ui	display_policy_error	data:ps2vnc_runtime_support.inc
ui	display_policy_request	data:ps2vnc_runtime_support.inc
ui	display_policy_request_selection	data:ps2vnc_runtime_support.inc
ui	display_policy_request_value	data:ps2vnc_runtime_support.inc
ui	display_restore_ack_mode	data:ps2vnc_runtime_support.inc
ui	display_restore_ack_request	data:ps2vnc_runtime_support.inc
ui	display_restore_ack_visible	data:ps2vnc_runtime_support.inc
ui	display_switch_failure_stage	data:ps2vnc_runtime_support.inc
ui	display_transition_switch_in_progress	data:ps2vnc_runtime_support.inc
ui	ethWaitValidNetIFLinkState	aux-function:ps2vnc_runtime_support.inc
ui	live_encoding	data:ps2vnc_runtime_support.inc
ui	live_error_code	data:ps2vnc_runtime_support.inc
ui	live_hdr_raw	data:ps2vnc_runtime_support.inc
ui	live_hdr_recv_n	data:ps2vnc_runtime_support.inc
ui	live_hdr_start_avail	data:ps2vnc_runtime_support.inc
ui	live_message_type	data:ps2vnc_runtime_support.inc
ui	live_rect_count	data:ps2vnc_runtime_support.inc
ui	live_rect_h	data:ps2vnc_runtime_support.inc
ui	live_rect_index	data:ps2vnc_runtime_support.inc
ui	live_rect_w	data:ps2vnc_runtime_support.inc
ui	live_rect_x	data:ps2vnc_runtime_support.inc
ui	live_rect_y	data:ps2vnc_runtime_support.inc
ui	live_update_raw	data:ps2vnc_runtime_support.inc
ui	osk_alt	data:ps2vnc_runtime_support.inc
ui	osk_clear_one_shot_modifiers	aux-function:ps2vnc_runtime_support.inc
ui	osk_col	data:ps2vnc_runtime_support.inc
ui	osk_ctrl	data:ps2vnc_runtime_support.inc
ui	osk_display_char	aux-function:ps2vnc_runtime_support.inc
ui	osk_func_keysyms	data:ps2vnc_runtime_support.inc
ui	osk_page	data:ps2vnc_runtime_support.inc
ui	osk_render_bitmap	aux-function:ps2vnc_runtime_support.inc
ui	osk_row	data:ps2vnc_runtime_support.inc
ui	osk_row_length	aux-function:ps2vnc_runtime_support.inc
ui	osk_shift	data:ps2vnc_runtime_support.inc
ui	osk_visible	data:ps2vnc_runtime_support.inc
ui	pad_area	data:ps2vnc_runtime_support.inc
ui	profile_changed_bytes	data:ps2vnc_runtime_support.inc
ui	profile_dirty_wait_ticks	data:ps2vnc_runtime_support.inc
ui	profile_emit_now	aux-function:ps2vnc_runtime_support.inc
ui	profile_flip_ticks	data:ps2vnc_runtime_support.inc
ui	profile_present_sync_ticks	data:ps2vnc_runtime_support.inc
ui	profile_rfb_start_tick	data:ps2vnc_runtime_support.inc
ui	profile_rfb_ticks	data:ps2vnc_runtime_support.inc
ui	profile_rfb_updates	data:ps2vnc_runtime_support.inc
ui	ps2vnc_discard_controller_rfb_queue	aux-function:ps2vnc_runtime_support.inc
ui	ps2vnc_display_begin_update	aux-function:ps2vnc_framebuffer_engine.inc
ui	ps2vnc_display_commit_update	aux-function:ps2vnc_framebuffer_engine.inc
ui	ps2vnc_display_finish_update_decode	aux-function:ps2vnc_framebuffer_engine.inc
ui	ps2vnc_display_logical_desktop_size	aux-function:ps2vnc_runtime_support.inc
ui	ps2vnc_hotkey_binding_t	data:ps2vnc_runtime_support.inc
ui	ps2vnc_system_exit_accept_request	aux-function:ps2vnc_runtime_support.inc
ui	ps2vnc_system_overlay_allowed	aux-function:ps2vnc_runtime_support.inc
ui	ps2vnc_system_refresh_accept_request	aux-function:ps2vnc_runtime_support.inc
ui	ps2vnc_system_refresh_update_state	aux-function:ps2vnc_runtime_support.inc
ui	remote_display_baseline_mode	data:ps2vnc_runtime_support.inc
ui	remote_display_error_code	data:ps2vnc_runtime_support.inc
ui	remote_display_last_poll_tick	data:ps2vnc_runtime_support.inc
ui	remote_display_lease_seconds	data:ps2vnc_runtime_support.inc
ui	remote_display_lease_started_tick	data:ps2vnc_runtime_support.inc
ui	remote_display_requested_mode	data:ps2vnc_runtime_support.inc
ui	remote_display_state	data:ps2vnc_runtime_support.inc
ui	remote_display_suppress_next_active_menu_return	data:ps2vnc_runtime_support.inc
ui	remote_display_txid	data:ps2vnc_runtime_support.inc
ui	rfb_confirm_live_yield_enabled	data:ps2vnc_runtime_support.inc
ui	rfb_confirm_wait_generation	data:ps2vnc_runtime_support.inc
ui	rfb_last_recv_call	data:ps2vnc_runtime_support.inc
ui	rfb_last_recv_n	data:ps2vnc_runtime_support.inc
ui	rfb_rx_end	data:ps2vnc_runtime_support.inc
ui	rfb_rx_pos	data:ps2vnc_runtime_support.inc
ui	rfb_rx_syscalls	data:ps2vnc_runtime_support.inc
ui	runtime_hotkey_has_hold_extension	aux-function:ps2vnc_runtime_support.inc
ui	runtime_hotkey_lookup	aux-function:ps2vnc_runtime_support.inc
ui	screen_row	data:ps2vnc_runtime_support.inc
ui	send_key_event	aux-function:ps2vnc_runtime_support.inc
ui	send_key_tap	aux-function:ps2vnc_runtime_support.inc
ui	send_modified_key_tap	aux-function:ps2vnc_runtime_support.inc
ui	send_pointer_event	aux-function:ps2vnc_runtime_support.inc
ui	size_DEV9_irx	compile:ps2vnc_runtime_support.inc
ui	size_NETMAN_irx	compile:ps2vnc_runtime_support.inc
ui	size_SMAP_irx	compile:ps2vnc_runtime_support.inc
ui	start_controller_thread	aux-function:ps2vnc_framebuffer_engine.inc
ui	startup_force_calibration_requested	aux-function:ps2vnc_runtime_support.inc
ui	video_modes	data:ps2vnc_runtime.c:preamble
ui	wait_pad_ready_after_mode_change	aux-function:ps2vnc_runtime_support.inc
